 ,,,,,,,For Andrew ,,,For Andrew ,For Andrew ,For Andrew ,For Andrew ,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",,
10/11/2020,V142,Tradwind Performance Tank,HPL,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V224,Ponto Performance Crew,THI,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW133,Daydream Crew,LHG,XS,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V955,Mountain Light Tee,HTG,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW511,Saltwater Anorak,BLK,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V370,Ripstop Short,KHK,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V416,Sunday Performance Jogger,OXB,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW220,Crescent 1/2 Zip,HTG,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW123,Energy Top,HTG,M,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V344,Ponto Short,HTG,M,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V201,Movement Hooide,HTG,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW304,Clementine Short,INK,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V370,Black Camo ,BCM,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW303,Performance Jogger,HTG,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V946,Dunes Tee,HTG,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW144,Rhythm Tank ,GRY,XS,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW329,Pace High Rise Legging,IND,M,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW201,Halo Performance Hoodie,BLK,XS,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,V330,Banks Shorts,Army Micro Dot,M,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,VW303,Performance Jogger,HTG,S,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,VW303,Performance Jogger,HCE,M,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,VW148,Lizette Crop ,WHT,M,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,VW148,Litzette Crop,BLK,S,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,V412,Ripstop Pant,ARM,M,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,V344,Ponto Short,BLK,M,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/11/2020,VW325,Elevation Legging,HCE,S,1,Out,TRUE,Damaged,GV,908277,,1011,TRUE,,
10/15/2020,VW133,Daydream Crew,LHG,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW364,Womens ripstop short,COP,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V370,Ripstop short,ARM,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW952,The rise the shine tank,Army Micro Dot,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW401,Womens ripstop pant,COP,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V101,Tuvalu Tee,BLK,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW106,Lux Performance Tee,BLK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW243,Catalina Crew,NAT,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW106,Lux Performance Tee,HCC,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW323,Daily Legging ,INK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW106,Ink Heather,HIN,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW303,Performance Jogger,BLK,S,3,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V330,Banks Shorts,BCM,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V418,Ponto performance pant,HTG,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW401,Womens ripstop pant,ARM,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V302,Kore Short,AMBER,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW401,Womens Ripstop pant,CCL,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW123,Energy Top,ORE,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V330,Banks Shorts,BKL,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW169,Mudra Fitted Tee,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V302,Kore Short,CCL,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW123,Energy Top,BLK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V344,Ponto Short,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V418,Ponto Performance pant,HCC,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW959,Live give Tank,Storm,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW142,Plyo Tank,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW401,Womens ripstop pant,COP,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW323,Daily Legging ,BCM,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW392,Pace High Rise Legging,BLK,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V222,Ponto Pullover,HCC,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V344,Ponto Short,HTG,XL,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/15/2020,VW323,Daily Legging ,FIG,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/15/2020,V302,Kore Short,COG,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/15/2020,VW108,Lux Performance Tank,HDS,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW133,Daydream Crew,HDS,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW102,Eclispe Sports Bra,BLK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,VW166,Holly Tie Back,WHT,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V430-L,Meta Pant ,CCL,33,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V412,Ripstop Pant,CCL,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/15/2020,V359,Bahia Boardshort,BLK,30,1,In,TRUE,Lightspeed Return,SL,1081,1780,1012,TRUE,,
10/16/2020,V366,"Bank Short 5""",BKL,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/16/2020,VW952,The rise the shine tank,ARM,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/16/0202,V302,Kore short,BCM,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,V330,Banks Short ,RED CAMO?,XXL,1,Out,FALSE,Damaged,AP,,,,FALSE,,
10/16/2020,V430,Meta Pant,BLK,32,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,VW323,Daily Legging,BCM,XL,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,V302,Kore short,PWC,XL,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,VW136,Elevation Bra,BCM,XS,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,V412,Ripstop Pant,CCL,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,V330,Banks short,GRL,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/16/2020,VW511 ,Saltwater Anorak,BLK,XS,1,In,TRUE,Lightspeed Return,SL,1081,1780,1012,TRUE,,
10/17/20,VW303,Performance Jogger,Dusk,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/17/20,VW510,Truckee Vest ,BCM,XS,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/17/20,V341,Trail Short,Light heather grey ,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/17/20,V218,Jeffreys Pullover ,HTG,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/20/2020,V359,Bahia Boardshort,SGL,36,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V302,Kore Short,GLD,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V302,Kore Short,IND,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/2020,VW323,Daily Legging,SPC,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW323,Daily Legging,BCM,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V822,Relay Beanie,HBK,Black Heather,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW144,Rhythm Tank ,DSK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW104,Yosemite Bra,BCM,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW226,Halo Essential Hoodie,HDG,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW511,Saltwater Anorak,WHT,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW401,Womens ripstop pant,CCL,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V418,Ponto Performance Pant,HNV,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW123,Energy Top,HTG,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V126,Strato Tech Tee,HST,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW108,Lux Performance Tank,HCE,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V224,Ponto Performance Crew,IND,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/20/2020,V412,Ripstop Pant,CCO,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,VW409,HOR,HCC,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/20/2020,V412,Ripstop Pant,CCL,L,1,Out,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/20/2020,V341,Trail Short,BLK,M,2,Out,FALSE,Custom Sale,AP,,,,FALSE,,
10/21/2020,VW409,Clean Elevation Legging,HOR,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,V418,Ponto Performance Pant,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,VW144,Rhythm Tank ,GRY,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,VW418,Daily Jogger,BLK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,VW226,Halo Essential Hoodie,HDG,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,VW108,Lux Performance Tank,DVG,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,V417,Transit Jogger,CCL,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/21/2020,V418,Ponto Pant ,HTI,M,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/21/2020,VW303,Performance Jogger ,BLK,M,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/21/2020,V412,Ripstop Pants ,ARM,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/22/2020,VW905,Hello Sunshine Tank,MAUVE,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/22/2020,V330,Banks Short,OSP,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/22/2020,V108,L/S Ever Henley,COP,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW303,Performance Jogger,BLK,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V412,Ripstop Pant,CCL,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V531,Alpine Shera Jacket,HTG,XL,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW325,Banks Short,HCE,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V330,,AZL,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V101,Tuvalu Tee,SLT,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW418,Daily Jogger,BLK,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V344,Ponto Short,IND,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V527,Ripstop Jacket,ORE,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V302,Kore Short,CAMO COLOR BLOCK,M,1,Out,FALSE,Damaged,AP,,,,FALSE,,
10/22/2020,VW303,Performance Jogger,HCE,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V952,Land to Sea,HTG,XL,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V820,California Beanie,HTG,ONS,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V101,Tuvalu Tee,CCO,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V302,Kore Short,COG,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW323,Daily Legging,CCL,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V302,Kore Short,BCM,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW323,Daily Legging,BCM,M,2,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW329,Pace Legging,BLK,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V101,Tuvalu Tee,INK,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V314,Cruise Boardshort,Charcoal Micro Dot,34,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,VW201,Halo Performance Hoodie,HTG,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/22/2020,V310,Equator boardshort,NAVY ASSYM BLOCK,32,1,In,FALSE,Lightspeed Return,AP,,,,FALSE,,
10/22/2020,VW133,Daydream Crew,DSK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
