UPC,Style#,Style Desc,Size,Clr Desc,Division Desc,Clr, MSRP ,Size Type,Size Range Desc.,Division,Curr,,,,,
843084137480,V101,Tuvalu Tee,XL,White,Mens,WHT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137497,V101,Tuvalu Tee,XXL,White,Mens,WHT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002101,V101.01,Tuvalu Tee,L,Charcoal Stripe,Mens,CCS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002095,V101.01,Tuvalu Tee,M,Charcoal Stripe,Mens,CCS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002088,V101.01,Tuvalu Tee,S,Charcoal Stripe,Mens,CCS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002118,V101.01,Tuvalu Tee,XL,Charcoal Stripe,Mens,CCS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003603,V101.01,Tuvalu Tee,XXL,Charcoal Stripe,Mens,CCS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084106011,V101.01,Tuvalu Tee,L,Canyon Stripe,Mens,CYS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084106004,V101.01,Tuvalu Tee,M,Canyon Stripe,Mens,CYS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084105991,V101.01,Tuvalu Tee,S,Canyon Stripe,Mens,CYS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084106028,V101.01,Tuvalu Tee,XL,Canyon Stripe,Mens,CYS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084106035,V101.01,Tuvalu Tee,XXL,Canyon Stripe,Mens,CYS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003344,V101.01,Tuvalu Tee,L,Natural Heather Grey Stripe,Mens,NGS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002606,V101.01,Tuvalu Tee,M,Natural Heather Grey Stripe,Mens,NGS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810002590,V101.01,Tuvalu Tee,S,Natural Heather Grey Stripe,Mens,NGS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003399,V101.01,Tuvalu Tee,XL,Natural Heather Grey Stripe,Mens,NGS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003405,V101.01,Tuvalu Tee,XXL,Natural Heather Grey Stripe,Mens,NGS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084104635,V101.01,Tuvalu Tee,L,Navy Stripe,Mens,NVS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084104628,V101.01,Tuvalu Tee,M,Navy Stripe,Mens,NVS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084104611,V101.01,Tuvalu Tee,S,Navy Stripe,Mens,NVS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084104642,V101.01,Tuvalu Tee,XL,Navy Stripe,Mens,NVS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084104659,V101.01,Tuvalu Tee,XXL,Navy Stripe,Mens,NVS, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084113835,V101B,Tuvalu Tee - B Grade,L,Azure,Mens,AZR, $ 45.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084113828,V101B,Tuvalu Tee - B Grade,M,Azure,Mens,AZR, $ 45.00 ,_,Men's Standard Tops,MN,USD,,,,,
