Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2842,Vuori Clothing,"Kore Short 5"" | Oregano Rainforest",Oregano Rainforest / L,V367ORFLRG,843084182459,,,,,7.04,42.24,oz,delivered,03/24/2021 at 16:38,68.00,181,6,N/A,N/A,,,,
T2842,Vuori Clothing,"Kore Short 5"" | Oregano Rainforest",Oregano Rainforest / M,V367ORFMED,843084182442,,,,,7.04,42.24,oz,delivered,03/24/2021 at 16:38,68.00,137,6,N/A,N/A,,,,
T2842,Vuori Clothing,"Kore Short 5"" | Oregano Rainforest",Oregano Rainforest / S,V367ORFSML,843084182435,,,,,7.04,28.16,oz,delivered,03/24/2021 at 16:38,68.00,63,4,N/A,N/A,,,,
T2842,Vuori Clothing,"Kore Short 5"" | Oregano Rainforest",Oregano Rainforest / XL,V367ORFXLG,843084182466,,,,,7.04,14.08,oz,delivered,03/24/2021 at 16:38,68.00,104,2,N/A,N/A,,,,
T2842,Vuori Clothing,"Kore Short 5"" | Oregano Rainforest",Oregano Rainforest / XXL,V367ORFXXL,843084182473,,,,,7.04,7.04,oz,delivered,03/24/2021 at 16:38,68.00,13,1,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Charcoal,Charcoal / L,V378CCLLRG,843084183661,,,,,10.56,73.92,oz,delivered,03/24/2021 at 16:38,64.00,395,7,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Charcoal,Charcoal / M,V378CCLMED,843084183654,,,,,10.56,63.36,oz,delivered,03/24/2021 at 16:38,64.00,423,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Charcoal,Charcoal / S,V378CCLSML,843084183647,,,,,10.56,52.8,oz,delivered,03/24/2021 at 16:38,64.00,137,5,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Charcoal,Charcoal / XL,V378CCLXLG,843084183678,,,,,10.56,42.24,oz,delivered,03/24/2021 at 16:38,64.00,153,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Charcoal,Charcoal / XXL,V378CCLXXL,843084183685,,,,,10.56,31.68,oz,delivered,03/24/2021 at 16:38,64.00,44,3,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Salt,Salt / L,V378SALLRG,840159712108,,,,,10.56,63.36,oz,delivered,03/24/2021 at 16:38,64.00,328,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Salt,Salt / M,V378SALMED,840159712092,,,,,10.56,63.36,oz,delivered,03/24/2021 at 16:38,64.00,354,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Salt,Salt / S,V378SALSML,840159712085,,,,,10.56,42.24,oz,delivered,03/24/2021 at 16:38,64.00,113,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Salt,Salt / XL,V378SALXLG,840159712115,,,,,10.56,42.24,oz,delivered,03/24/2021 at 16:38,64.00,124,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Salt,Salt / XXL,V378SALXXL,840159712122,,,,,10.56,21.12,oz,delivered,03/24/2021 at 16:38,64.00,37,2,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Terracotta,Terracotta / L,V378TERLRG,843084183722,,,,,10.56,63.36,oz,delivered,03/24/2021 at 16:38,64.00,370,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Terracotta,Terracotta / M,V378TERMED,843084183715,,,,,10.56,63.36,oz,delivered,03/24/2021 at 16:38,64.00,425,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Terracotta,Terracotta / S,V378TERSML,843084183708,,,,,10.56,42.24,oz,delivered,03/24/2021 at 16:38,64.00,150,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Terracotta,Terracotta / XL,V378TERXLG,843084183739,,,,,10.56,42.24,oz,delivered,03/24/2021 at 16:38,64.00,134,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Short | Terracotta,Terracotta / XXL,V378TERXXL,843084183746,,,,,10.56,21.12,oz,delivered,03/24/2021 at 16:38,64.00,43,2,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / L,V418HORLRG,843084184446,,,,,11.2,100.8,oz,delivered,03/24/2021 at 16:38,84.00,567,9,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / M,V418HORMED,843084184439,,,,,11.2,89.6,oz,delivered,03/24/2021 at 16:38,84.00,648,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / S,V418HORSML,843084184422,,,,,11.2,67.2,oz,delivered,03/24/2021 at 16:38,84.00,192,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / XL,V418HORXLG,843084184453,,,,,11.2,67.2,oz,delivered,03/24/2021 at 16:38,84.00,237,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Oregano Heather,Oregano Heather / XXL,V418HORXXL,843084184460,,,,,11.2,22.4,oz,delivered,03/24/2021 at 16:38,84.00,10,2,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / L,V418HPTLRG,843084184507,,,,,11.2,89.6,oz,delivered,03/24/2021 at 16:38,84.00,450,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / M,V418HPTMED,843084184491,,,,,11.2,89.6,oz,delivered,03/24/2021 at 16:38,84.00,407,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / S,V418HPTSML,843084184484,,,,,11.2,67.2,oz,delivered,03/24/2021 at 16:38,84.00,137,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / XL,V418HPTXLG,843084184514,,,,,11.2,67.2,oz,delivered,03/24/2021 at 16:38,84.00,204,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / XXL,V418HPTXXL,843084184521,,,,,11.2,22.4,oz,delivered,03/24/2021 at 16:38,84.00,24,2,N/A,N/A,,,,
T2842,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 30,V433TOB030,843084184811,,,,,15.2,30.4,oz,delivered,03/24/2021 at 16:38,89.00,108,2,N/A,N/A,,,,
T2842,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 32,V433TOB032,843084184828,,,,,15.2,45.6,oz,delivered,03/24/2021 at 16:38,89.00,234,3,N/A,N/A,,,,
T2842,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 33,V433TOB033,843084184835,,,,,15.2,30.4,oz,delivered,03/24/2021 at 16:38,89.00,177,2,N/A,N/A,,,,
