Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 36,V314IWD036,843084166145,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,23,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 38,V314IWD038,843084166152,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,9,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 30,V314IWS030,843084166176,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,19,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 32,V314IWS032,843084166183,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,47,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 33,V314IWS033,843084166190,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,31,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 34,V314IWS034,843084166206,,,,,5.92,23.68,oz,delivered,03/25/2021 at 14:47,68.00,83,4,N/A,N/A,18.15,72.60,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 36,V314IWS036,843084166213,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,44,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 38,V314IWS038,843084166220,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,29,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Vital Short | Charcoal,Charcoal / L,V378CCLLRG,843084183661,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,389,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Short | Charcoal,Charcoal / M,V378CCLMED,843084183654,,,,,10.56,42.24,oz,delivered,03/25/2021 at 14:47,64.00,416,4,N/A,N/A,,,,
